Age,AgeGroup,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Sex,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,25-54,Travel_Rarely,1102,Human Resources Management,1,2,Human Resources Management,2,Female,94,3,2,Training and Development Officer,4,Single,5993,19479,8,1,11,3,1,8,0,1,6,4,0,5,1
49,25-54,Travel_Frequently,279,Information Technology,8,1,Information Technology,3,Male,61,2,2,Programmer,2,Single,5130,24907,1,0,23,4,4,10,3,3,10,7,1,7,0
37,25-54,Travel_Rarely,1373,Information Technology,2,2,Information Technology,4,Male,92,2,1,Programmer,3,Single,2090,2396,6,1,15,3,2,7,3,3,0,0,0,0,0
33,25-54,Travel_Frequently,1392,Information Technology,3,4,Information Technology,4,Male,56,3,1,Technical Support,3,Single,2909,23159,1,1,11,3,3,8,3,3,8,7,3,0,0
27,25-54,Travel_Rarely,591,Information Technology,2,1,Information Technology,1,Male,40,3,1,Technical Support,2,Single,3468,16632,9,0,12,3,4,6,3,3,2,2,2,2,0
32,25-54,Travel_Frequently,1005,Information Technology,-0.5,2.5,Information Technology,4,Male,79,3,1,Technical Support,4,Single,3068,11864,0,0,13,3,3,8,2,2,7,7,3,6,0
59,55-64,Travel_Rarely,1324,Human Resources Management,3,3,Pyschology,3,Female,81,4,1,Training and Development Officer,1,Married,2670,9964,4,1,20,4,1,12,3,2,1,0,0,0,0
30,25-54,Travel_Rarely,1358,Human Resources Management,24,1,Pyschology,4,Male,67,3,1,Training and Development Officer,3,Divorced,2693,13335,1,0,22,4,2,1,2,3,1,0,0,0,0
38,25-54,Travel_Frequently,216,Human Resources Management,23,3,Business Administration,4,Male,44,2,3,Payroll & Benefits Officer,3,Single,9526,8787,0,0,21,4,2,10,2,3,9,7,1,8,0
36,25-54,Travel_Rarely,1299,Human Resources Management,27,3,Human Resources Management,3,Male,94,3,2,Recruitment Officer,3,Married,5237,16577,6,0,13,3,2,17,3,2,7,7,7,7,0
35,25-54,Travel_Rarely,809,Human Resources Management,16,3,Human Resources Management,1,Male,84,4,1,Recruitment Officer,2,Married,2426,16479,0,0,13,3,3,6,5,3,5,4,0,3,0
29,25-54,Travel_Rarely,153,Human Resources Management,15,2,Human Resources Management,4,Female,49,2,2,Recruitment Officer,3,Single,4193,12682,0,1,12,3,4,10,3,3,9,5,0,8,0
31,25-54,Travel_Rarely,670,Human Resources Management,26,1,Human Resources Management,1,Male,31,3,1,Recruitment Officer,3,Divorced,2911,15170,1,0,17,3,4,5,1,2,5,2,4,3,0
34,25-54,Travel_Rarely,1346,Human Resources Management,19,2,Human Resources Management,2,Male,93,3,1,Recruitment Officer,4,Divorced,2661,8758,0,0,11,3,3,3,2,3,2,2,1,2,0
28,25-54,Travel_Rarely,103,Human Resources Management,24,3,Human Resources Management,3,Male,50,2,1,Recruitment Officer,3,Single,2028,12947,5,1,14,3,2,6,4,3,4,2,0,3,1
29,25-54,Travel_Rarely,1389,Human Resources Management,21,4,Human Resources Management,2,Female,51,4,3,Recruitment Officer,1,Divorced,9980,10195,1,0,11,3,3,10,1,3,10,9,8,8,0
32,25-54,Travel_Rarely,334,Human Resources Management,5,2,Human Resources Management,1,Male,80,4,1,Recruitment Officer,2,Divorced,3298,15053,0,1,12,3,4,7,5,2,6,2,0,5,0
22,15-24,Non-Travel,1123,Human Resources Management,16,2,Human Resources Management,4,Male,96,4,1,Recruitment Officer,4,Divorced,2935,7324,1,1,13,3,2,1,2,2,1,0,0,0,0
53,25-54,Travel_Rarely,1219,Human Resources Management,2,4,Pyschology,1,Female,78,2,4,HR Assistant,4,Married,15427,22021,2,0,16,3,3,31,3,3,25,8,3,7,0
38,25-54,Travel_Rarely,371,Human Resources Management,2,3,Business Administration,4,Male,45,3,1,Recruitment Officer,4,Single,3944,4306,5,1,11,3,3,6,3,3,3,2,1,2,0
24,15-24,Non-Travel,673,Human Resources Management,11,2,Business Administration,1,Female,96,4,2,Recruitment Officer,3,Divorced,4011,8232,0,0,18,3,4,5,5,2,4,2,1,3,0
36,25-54,Travel_Rarely,1218,Human Resources Management,9,4,Business Administration,3,Male,82,2,1,Recruitment Officer,1,Single,3407,6986,7,0,23,4,2,10,4,3,5,3,0,3,1
34,25-54,Travel_Rarely,419,Human Resources Management,7,4,Business Administration,1,Female,53,3,3,Recruitment Officer,2,Single,11994,21293,0,0,11,3,3,13,4,3,12,6,2,11,0
21,15-24,Travel_Rarely,391,Human Resources Management,15,2,Pyschology,3,Male,96,3,1,Recruitment Officer,4,Single,1232,19281,1,0,14,3,4,0,6,3,0,0,0,0,0
34,25-54,Travel_Rarely,699,Human Resources Management,6,1,Pyschology,2,Male,83,3,1,Training and Development Officer,1,Single,2960,17102,2,0,11,3,3,8,2,3,4,2,1,3,1
53,25-54,Travel_Rarely,1282,Human Resources Management,5,3,Pyschology,3,Female,58,3,5,HR Manager,3,Divorced,19094,10735,4,0,11,3,4,26,3,2,14,13,4,8,0
32,25-54,Travel_Frequently,1125,Human Resources Management,16,1,Pyschology,2,Female,72,1,1,Training and Development Officer,1,Single,3919,4681,1,1,22,4,2,10,5,3,10,2,6,7,1
42,25-54,Travel_Rarely,691,Human Resources Management,8,4,Pyschology,3,Male,48,3,2,Training and Development Officer,2,Married,6825,21173,0,0,11,3,4,10,2,3,9,7,4,2,0
44,25-54,Travel_Rarely,477,Human Resources Management,7,4,Human Resources Management,1,Female,42,2,3,Training and Development Officer,4,Married,10248,2094,3,0,14,3,4,24,4,3,22,6,5,17,0
46,25-54,Travel_Rarely,705,Human Resources Management,2,4,Business Administration,2,Female,83,3,5,HR Manager,1,Single,18947,22822,3,0,12,3,4,22,2,2,2,2,2,1,0
33,25-54,Travel_Rarely,924,Compliance Audit Division,2,3,Accounting,3,Male,78,3,1,Compliance Officer,4,Single,2496,6670,4,0,11,3,4,7,3,3,1,1,0,0,0
44,25-54,Travel_Rarely,1459,Compliance Audit Division,10,4,Finance,4,Male,41,3,2,Compliance Officer,4,Married,6465,19121,2,1,13,3,4,9,5,4,4,2,1,3,0
30,25-54,Travel_Rarely,125,Compliance Audit Division,9,2,Auditing,4,Male,83,2,1,Audit Assistant,3,Single,2206,16117,1,0,13,3,1,10,5,3,10,0,1,8,0
39,25-54,Travel_Rarely,895,Human Resources Management,5,3,Business Administration,4,Male,56,3,2,HR Manager,4,Married,2086,3335,3,0,14,3,3,19,6,4,1,0,0,0,1
24,15-24,Travel_Rarely,813,Compliance Audit Division,1,3,Risk Management,2,Male,61,3,1,Quality Assurance Officer,4,Married,2293,3020,2,1,16,3,1,6,2,2,2,0,2,0,1
43,25-54,Travel_Rarely,1273,Compliance Audit Division,2,2,Risk Management,4,Female,72,4,1,Audit Assistant,3,Divorced,2645,21923,1,0,12,3,4,6,3,2,5,3,1,4,0
50,25-54,Travel_Rarely,869,Human Resources Management,3,2,Business Administration,1,Male,86,2,1,HR Assistant,3,Married,2683,3810,1,1,14,3,3,3,2,3,3,2,0,2,1
